oid,fountain_type,fountain_code,dog_friendly,amt,coordinates,open_map_address
246,ברזית גליל,B10,False,,"{'x': 34.79873782385115, 'y': 32.12724975646608}","32, שלמה בן יוסף, תל אביב - יפו, 'רמת אביב ג, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
247,ברזיית עלה,B14,False,,"{'x': 34.796706522598654, 'y': 32.11651679460236}","28, טאגור, נוה אביבים וסביבתה, תל אביב - יפו, נווה אביבים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
248,ברזיית עלה,B14,False,,"{'x': 34.766872187379946, 'y': 32.063676062691805}","32, דגניה, תל אביב - יפו, נוה צדק, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6560330, ישראל"
249,ברזיית עלה,B14,False,,"{'x': 34.81317045835933, 'y': 32.04685781624398}","32, רוטנשטרייך, תל אביב - יפו, ניר אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
250,ברזית גליל,B10,False,,"{'x': 34.829901372525256, 'y': 32.110467752681856}","33, ישראל אשכנזי, נוה דן, תל אביב - יפו, ישגב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6971001, ישראל"
251,ברזית גליל,B10,False,,"{'x': 34.7801538138143, 'y': 32.04318884972224}","33, קפלנסקי, תל אביב - יפו, קרית שלום, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
252,ברזית גליל,B10,False,,"{'x': 34.793906264081926, 'y': 32.10769706284289}","33, רדינג, רמת-אביב, תל אביב - יפו, אוניברסיטת תל אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
253,ברזית גליל,B10,False,,"{'x': 34.764022290433196, 'y': 32.04180905083039}","34, שביל אופנידן איילון, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6811156, ישראל"
254,ברזית גליל,B10,False,,"{'x': 34.801912931990614, 'y': 32.06996493474929}","34, השלום, תל אביב - יפו, ביצרון ורמת ישראל, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
255,ברזית גליל,B10,False,,"{'x': 34.74865101442766, 'y': 32.03013730755386}","הגבול (שמחה הולצברג), תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6806546, ישראל"
256,ברזיה מרובעת,B11,True,,"{'x': 34.786144732480544, 'y': 32.07964980763705}","34, שדרות דוד המלך, הצפון החדש - החלק הדרומי, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6423806, ישראל"
257,ברזית גליל,B10,True,,"{'x': 34.773949713625434, 'y': 32.072853595569576}","גן מאיר, 35, המלך ג'ורג', תל אביב - יפו, לב תל-אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6433701, ישראל"
258,ברזית גליל,B10,True,,"{'x': 34.773949713625434, 'y': 32.072853595569576}","גן מאיר, 35, המלך ג'ורג', תל אביב - יפו, לב תל-אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6433701, ישראל"
259,ברזית גליל,B10,False,,"{'x': 34.78620296494023, 'y': 32.051254763563804}","35, דוד תדהר, התקוה, תל אביב - יפו, עזרא, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
260,ברזית גליל,B10,False,,"{'x': 34.78285226843882, 'y': 32.05683730464649}","35, לבנדה, נווה שאנן, תל אביב - יפו, יד אליהו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
261,ברזית גליל,B10,False,,"{'x': 34.81643280607303, 'y': 32.10807679711594}","37, קהילת לודז', הדר-יוסף, תל אביב - יפו, מעוז אביב ב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5259408, ישראל"
262,ברזיה מרובעת,B11,False,,"{'x': 34.76569795983501, 'y': 32.04092913772278}","37, גרינבוים, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5822304, ישראל"
263,ברזית גליל,B10,False,,"{'x': 34.8274500404926, 'y': 32.124449128697336}","38, עיר שמש, גני צהלה, רמות צהלה, תל אביב - יפו, גני צהלה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6962342, ישראל"
264,ברזית גליל,B10,False,,"{'x': 34.789856580223, 'y': 32.111567042682516}","39ב, יהודה בורלא, שכונת למד, תל אביב - יפו, רמת אביב החדשה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
265,ברזית גליל,B10,False,,"{'x': 34.789856580223, 'y': 32.111567042682516}","39ב, יהודה בורלא, שכונת למד, תל אביב - יפו, רמת אביב החדשה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
266,ברזיה מרובעת,B11,False,,"{'x': 34.79813827731311, 'y': 32.11726609740551}","40, סמטת טאגור, נוה אביבים וסביבתה, תל אביב - יפו, נווה אביבים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
267,ברזיית עלה,B14,False,,"{'x': 34.79537299622708, 'y': 32.12026464028485}","41, יהודה הנשיא, נוה אביבים וסביבתה, תל אביב - יפו, נווה אביבים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
